millis,, a_y, a_z, g_x, g_y, g_z,f
148569,0.88,1.4,-9.79,0.02,0,0.01,0
148578,0.84,1.42,-9.71,0.01,0,0.01,0
148583,0.83,1.41,-9.76,0.01,0,0.01,0
148591,0.83,1.4,-9.82,0.02,0,0.01,0
148596,0.89,1.39,-9.77,0.01,0,0.01,0
148600,0.85,1.37,-9.75,0.02,0,0.01,0
148606,0.89,1.37,-9.81,0.01,0,0.01,0
148612,0.84,1.31,-9.76,0.01,0,0.01,0
148617,0.79,1.37,-9.8,0.01,0,0.01,0
148621,0.87,1.41,-9.76,0.01,0,0.01,0
148626,0.91,1.36,-9.76,0.01,0,0.01,0
148630,0.89,1.45,-9.75,0.01,0,0.01,0
148635,0.83,1.33,-9.76,0.01,0,0.01,0
148639,0.89,1.43,-9.73,0.01,0,0.01,0
148644,0.89,1.35,-9.78,0.01,0,0.01,0
148649,0.82,1.43,-9.74,0.01,-0.01,0.01,0
148653,0.85,1.4,-9.74,0.01,0,0.01,0
148658,0.84,1.35,-9.74,0.01,0,0.01,0
148662,0.96,1.39,-9.78,0.01,0,0.01,0
148667,0.93,1.39,-9.8,0.01,0,0.01,0
148671,0.87,1.44,-9.76,0.01,0,0.01,0
148676,0.83,1.35,-9.77,0.01,0,0.01,0
148690,0.84,1.38,-9.87,0.01,0,0.01,0
148694,0.88,1.34,-9.75,0.01,0,0.01,0
148823,0.85,1.38,-9.77,0.01,-0.01,0.01,0
148828,0.78,1.36,-9.73,0.01,-0.01,0.01,0
148832,0.91,1.34,-9.77,0.01,-0.01,0.01,0
148837,0.88,1.39,-9.84,0.01,-0.01,0.01,0
148841,0.88,1.35,-9.8,0.01,-0.01,0.01,0
148846,0.88,1.43,-9.76,0.01,-0.01,0.01,0
148980,0.88,1.45,-9.79,0.01,-0.01,0.01,0
148985,0.94,1.44,-9.82,0.01,-0.01,0,0
148989,0.8,1.43,-9.65,0.01,-0.01,0.01,0
148994,0.83,1.41,-9.74,0.01,-0.01,0.01,0
148998,0.87,1.35,-9.69,0,-0.01,0,0
149014,0.85,1.34,-9.78,0.01,-0.01,0.01,0
149018,0.83,1.43,-9.77,0,-0.01,0.01,0
149172,0.88,1.45,-9.72,0,-0.01,0,0
149177,0.88,1.39,-9.82,0,-0.01,0,0
149181,0.8,1.4,-9.83,0,-0.01,0,0
149186,0.86,1.31,-9.76,0.01,-0.01,0,0
149190,0.88,1.37,-9.76,0,-0.01,0,0
149195,0.88,1.27,-9.71,0,-0.01,0,0
149199,0.92,1.38,-9.79,0,-0.01,0,0
149337,0.88,1.41,-9.76,0,-0.01,0,0
149342,0.83,1.29,-9.79,0,-0.01,0,0
149346,0.86,1.39,-9.82,0,-0.01,0,0
149351,0.81,1.39,-9.77,0,-0.01,0,0
149355,0.88,1.38,-9.72,0.01,-0.01,0,0
149360,0.86,1.31,-9.77,0,-0.01,0,0
149389,0.86,1.45,-9.75,0,-0.01,0,0
149394,0.9,1.41,-9.78,0,-0.01,0,0
149403,0.81,1.28,-9.75,0,-0.01,0,0
149415,0.82,1.39,-9.79,0,-0.01,0,0
149420,0.88,1.43,-9.8,0,-0.01,0,0
149424,0.85,1.39,-9.77,0.01,-0.01,0,0
149429,0.91,1.4,-9.84,0,-0.01,0,0
149434,0.88,1.32,-9.71,0.01,-0.01,0,0
149438,0.85,1.39,-9.79,0,-0.01,0,0
149443,0.82,1.4,-9.77,0,-0.02,0,0
149448,0.8,1.31,-9.71,0,-0.01,0,0
149452,0.86,1.37,-9.7,0,-0.01,-0.01,0
149471,0.86,1.28,-9.71,0.01,-0.01,-0.01,0
149476,0.85,1.38,-9.78,0,-0.01,0,0
149655,0.85,1.36,-9.71,0.01,-0.02,-0.01,0
149660,0.82,1.3,-9.77,0.01,-0.01,-0.01,0
149664,0.86,1.35,-9.81,0.01,-0.02,-0.01,0
149669,0.88,1.4,-9.71,0.01,-0.02,-0.01,0
149674,0.86,1.33,-9.86,0.01,-0.01,-0.01,0
149680,0.92,1.38,-9.77,0.01,-0.01,-0.01,0
149718,0.89,1.32,-9.75,0.01,-0.01,-0.01,0
149722,0.92,1.39,-9.8,0.01,-0.01,-0.01,0
149810,0.9,1.35,-9.78,0.01,-0.01,-0.01,0
149815,0.78,1.41,-9.72,0.01,-0.02,-0.01,0
149820,0.87,1.34,-9.78,0.01,-0.02,-0.01,0
149826,0.84,1.43,-9.71,0.01,-0.01,-0.01,0
149831,0.85,1.37,-9.8,0.01,-0.01,-0.01,0
149836,0.84,1.35,-9.72,0.01,-0.01,-0.01,0
149845,0.83,1.43,-9.75,0.01,-0.01,-0.01,0
149850,0.8,1.28,-9.79,0.01,-0.01,-0.01,0
149855,0.85,1.39,-9.77,0.01,-0.01,-0.01,0
149862,0.95,1.34,-9.8,0.01,-0.01,-0.01,0
149867,0.83,1.38,-9.78,0.01,-0.01,-0.01,0
149872,0.8,1.38,-9.78,0.01,-0.01,-0.01,0
149877,0.87,1.3,-9.8,0.01,-0.01,-0.01,0
149884,0.85,1.38,-9.74,0.01,-0.01,-0.01,0
149889,0.91,1.42,-9.77,0.01,-0.02,-0.01,0
149894,0.83,1.37,-9.82,0.01,-0.01,-0.01,0
149899,0.91,1.34,-9.73,0.01,-0.01,-0.01,0
149905,0.9,1.37,-9.79,0.01,-0.01,-0.01,0
149912,0.89,1.33,-9.87,0.01,-0.01,-0.01,0
149917,0.89,1.35,-9.81,0.01,-0.01,-0.01,0
149922,0.95,1.31,-9.76,0.01,-0.01,-0.01,0
149927,0.91,1.43,-9.76,0.01,-0.01,-0.01,0
149932,0.91,1.35,-9.74,0.01,-0.01,-0.01,0
149937,0.9,1.43,-9.78,0.01,-0.01,-0.01,0
149942,0.86,1.44,-9.78,0.01,-0.01,-0.01,0
149947,0.8,1.39,-9.81,0.01,-0.01,-0.01,0
149953,0.88,1.32,-9.72,0.01,-0.01,-0.01,0
149960,0.84,1.4,-9.68,0.01,-0.01,-0.01,0
149966,0.84,1.34,-9.75,0.01,-0.01,-0.01,0
149971,0.91,1.34,-9.76,0.02,-0.01,-0.01,0
149975,0.85,1.36,-9.88,0.01,-0.01,-0.01,0
149980,0.92,1.32,-9.76,0.01,-0.01,-0.01,0
149985,0.82,1.33,-9.7,0.01,-0.01,-0.01,0
149989,0.83,1.35,-9.68,0.02,-0.01,-0.01,0
149995,0.82,1.38,-9.74,0.02,-0.01,-0.01,0
150000,0.82,1.31,-9.76,0.02,-0.01,-0.01,0
150005,0.88,1.4,-9.81,0.02,-0.01,-0.01,0
150010,0.89,1.31,-9.74,0.01,-0.01,-0.01,0
150014,0.88,1.36,-9.73,0.02,-0.01,-0.01,0
150021,0.83,1.34,-9.75,0.01,-0.01,-0.01,0
150027,0.9,1.37,-9.72,0.02,-0.01,-0.01,0
150031,0.85,1.29,-9.72,0.01,-0.01,-0.01,0
150036,0.85,1.4,-9.76,0.02,-0.01,-0.01,0
150041,0.91,1.4,-9.72,0.02,-0.01,-0.01,0
150046,0.93,1.37,-9.76,0.02,-0.01,-0.01,0
150052,0.9,1.34,-9.75,0.02,-0.01,-0.01,0
150059,0.91,1.33,-9.81,0.02,-0.01,-0.01,0
150063,0.87,1.35,-9.81,0.02,-0.01,-0.01,0
150068,0.85,1.44,-9.73,0.02,-0.01,-0.01,0
150075,0.87,1.38,-9.77,0.02,-0.01,-0.01,0
150080,0.89,1.37,-9.8,0.01,-0.01,-0.01,0
150085,0.94,1.4,-9.8,0.01,-0.01,-0.01,0
150090,0.84,1.39,-9.76,0.02,-0.01,-0.01,0
150096,0.88,1.37,-9.79,0.02,-0.01,-0.01,0
150101,0.9,1.41,-9.82,0.02,-0.01,-0.01,0
150105,0.88,1.28,-9.81,0.02,-0.01,-0.01,0
150110,0.96,1.33,-9.82,0.02,-0.01,-0.01,0
150114,0.86,1.23,-9.78,0.02,-0.01,-0.01,0
150119,0.83,1.38,-9.66,0.02,-0.01,-0.01,0
150123,0.87,1.36,-9.77,0.02,-0.01,-0.01,0
150127,0.91,1.35,-9.78,0.02,-0.01,-0.01,0
150132,0.86,1.39,-9.76,0.02,-0.01,-0.01,0
150137,0.88,1.41,-9.81,0.02,-0.01,-0.01,0
150141,0.9,1.45,-9.72,0.02,-0.01,-0.01,0
150146,0.82,1.37,-9.84,0.02,-0.01,-0.01,0
150151,0.87,1.32,-9.83,0.02,-0.01,-0.01,0
150209,0.88,1.35,-9.75,0.02,-0.01,-0.01,0
150218,0.85,1.35,-9.79,0.02,-0.01,-0.01,0
150226,0.87,1.42,-9.77,0.02,-0.01,-0.01,0
150231,0.88,1.38,-9.73,0.02,-0.01,-0.01,0
150237,0.86,1.36,-9.74,0.02,-0.01,-0.01,0
150242,0.91,1.36,-9.91,0.02,-0.01,0,0
150247,0.88,1.39,-9.78,0.02,-0.01,-0.01,0
150252,0.94,1.34,-9.84,0.02,-0.01,-0.01,0
150258,0.9,1.34,-9.8,0.02,-0.01,-0.01,0
150262,0.83,1.41,-9.8,0.02,-0.01,-0.01,0
150267,0.92,1.39,-9.77,0.02,-0.01,-0.01,0
150272,0.88,1.42,-9.78,0.02,-0.01,-0.01,0
150281,0.89,1.33,-9.77,0.02,-0.01,-0.01,0
150287,0.89,1.31,-9.77,0.02,-0.01,-0.01,0
150293,0.84,1.35,-9.76,0.02,-0.01,-0.01,0
150298,0.86,1.42,-9.81,0.02,-0.01,-0.01,0
150304,0.9,1.42,-9.76,0.02,-0.01,-0.01,0
150308,0.93,1.37,-9.77,0.02,-0.01,-0.01,0
150313,0.82,1.35,-9.83,0.02,-0.01,-0.01,0
150318,0.85,1.4,-9.84,0.02,-0.01,-0.01,0
150323,0.82,1.45,-9.76,0.02,-0.01,-0.01,0
150329,0.79,1.43,-9.85,0.02,-0.01,0,0
150334,0.85,1.39,-9.84,0.02,-0.01,0,0
150339,0.92,1.35,-9.73,0.02,-0.01,0,0
150345,0.89,1.35,-9.77,0.02,-0.01,-0.01,0
150351,0.8,1.32,-9.76,0.02,-0.01,0,0
150357,0.87,1.38,-9.73,0.02,-0.01,0,0
150361,0.9,1.33,-9.75,0.02,-0.01,0,0
150367,0.82,1.39,-9.79,0.02,-0.01,-0.01,0
150372,0.89,1.41,-9.73,0.02,-0.01,0,0
150377,0.87,1.34,-9.74,0.02,-0.01,-0.01,0
150385,0.87,1.37,-9.75,0.02,-0.01,0,0
150391,0.79,1.28,-9.81,0.03,-0.01,0,0
150396,0.9,1.31,-9.83,0.02,-0.01,0,0
150401,0.88,1.38,-9.8,0.02,-0.01,0,0
150406,0.9,1.35,-9.84,0.02,0,0,0
150411,0.87,1.46,-9.74,0.02,-0.01,0,0
150416,0.84,1.4,-9.82,0.02,-0.01,0,0
150420,0.91,1.36,-9.78,0.02,0,-0.01,0
150425,0.94,1.31,-9.75,0.02,-0.01,0,0
150429,0.86,1.34,-9.76,0.02,-0.01,0,0
150434,0.89,1.35,-9.75,0.02,0,0,0
150439,0.89,1.46,-9.83,0.02,0,0,0
150443,0.86,1.35,-9.8,0.03,0,0,0
150448,0.85,1.42,-9.76,0.02,-0.01,0,0
150453,0.82,1.36,-9.82,0.03,0,0,0
150457,0.92,1.44,-9.83,0.03,-0.01,0,0
150462,0.9,1.34,-9.75,0.02,-0.01,0,0
150467,0.84,1.35,-9.77,0.02,0,0,0
150488,0.83,1.3,-9.73,0.03,0,0,0
150492,0.9,1.36,-9.83,0.02,-0.01,0,0
150514,0.86,1.38,-9.76,0.02,0,0,0
150519,0.9,1.35,-9.75,0.02,-0.01,0,0
150546,0.86,1.32,-9.85,0.03,-0.01,0,0
150550,0.82,1.39,-9.78,0.03,0,0,0
150556,0.81,1.35,-9.79,0.03,0,0,0
150560,0.87,1.38,-9.81,0.03,0,0,0
150565,0.83,1.34,-9.79,0.03,0,0,0
150570,0.84,1.35,-9.82,0.03,0,0,0
150574,0.89,1.32,-9.78,0.03,0,0,0
150579,0.88,1.37,-9.8,0.02,0,0,0
150584,0.87,1.45,-9.83,0.02,0,0,0
150589,0.89,1.29,-9.84,0.03,0,0,0
150594,0.85,1.34,-9.83,0.02,0,0,0
150600,0.85,1.32,-9.76,0.03,-0.01,0,0
150605,0.87,1.33,-9.76,0.02,0,0,0
150610,0.9,1.34,-9.8,0.02,0,0,0
150614,0.85,1.35,-9.78,0.03,0,0,0
150620,0.9,1.37,-9.76,0.03,0,0,0
150624,0.87,1.28,-9.73,0.03,0,0,0
150630,0.87,1.34,-9.79,0.03,0,0,0
150635,0.84,1.27,-9.81,0.03,0,0,0
150640,0.79,1.37,-9.86,0.03,0,0,0
150644,0.92,1.44,-9.73,0.02,0,0,0
150649,0.91,1.38,-9.8,0.02,0,0,0
150654,0.89,1.36,-9.69,0.02,0,0,0
150659,0.82,1.34,-9.69,0.02,0,0,0
150665,0.84,1.4,-9.72,0.02,0,0,0
150670,0.86,1.37,-9.71,0.02,0,0,0
150674,0.89,1.32,-9.74,0.02,0,0,0
150682,0.91,1.4,-9.78,0.02,0,0,0
150687,0.85,1.4,-9.75,0.03,0,0,0
150693,0.82,1.36,-9.71,0.03,0,0,0
150697,0.84,1.43,-9.76,0.02,0,0,0
150703,0.84,1.41,-9.75,0.02,0,0,0
150707,0.88,1.43,-9.8,0.02,0,0,0
150712,0.85,1.42,-9.74,0.03,0,0,0
150717,0.85,1.36,-9.76,0.03,0,0,0
150721,0.88,1.41,-9.77,0.03,0,0,0
150727,0.82,1.32,-9.76,0.02,0,0,0
150731,0.87,1.4,-9.84,0.03,0,0,0
150736,0.9,1.4,-9.73,0.02,0,0,0
150740,0.83,1.42,-9.71,0.02,0,0,0
150745,0.88,1.41,-9.72,0.03,0,0,0
150749,0.77,1.41,-9.83,0.03,0,0,0
150754,0.86,1.4,-9.75,0.03,0,0,0
150758,0.77,1.39,-9.82,0.02,0,0,0
150763,0.89,1.37,-9.76,0.02,0,0,0
150768,0.79,1.4,-9.81,0.02,0,0,0
150772,0.82,1.37,-9.75,0.02,0,0,0
150777,0.82,1.33,-9.76,0.02,0,0,0
150782,0.85,1.33,-9.79,0.03,0,0,0
150787,0.84,1.36,-9.72,0.03,0,0,0
150791,0.79,1.4,-9.77,0.02,0,0,0
150796,0.91,1.45,-9.79,0.03,0,0,0
150801,0.89,1.41,-9.71,0.03,0,0.01,0
150805,0.89,1.32,-9.78,0.02,0,0,0
150810,0.83,1.5,-9.78,0.02,0,0,0
150815,0.89,1.38,-9.75,0.03,0,0,0
150820,0.85,1.39,-9.73,0.02,0,0,0
150825,0.86,1.42,-9.75,0.02,0,0,0
150829,0.84,1.38,-9.75,0.02,0,0.01,0
150834,0.84,1.24,-9.79,0.03,0,0.01,0
150838,0.86,1.31,-9.8,0.03,0,0.01,0
150843,0.85,1.39,-9.73,0.02,0,0,0
150847,0.91,1.4,-9.74,0.03,0,0.01,0
150852,0.79,1.35,-9.74,0.02,0,0.01,3641
150856,0.86,1.39,-9.77,0.03,0,0.01,3885
150861,0.91,1.39,-9.77,0.03,0,0,4095
150865,0.88,1.36,-9.84,0.02,0,0.01,4095
150876,0.86,1.3,-9.76,0.03,0,0.01,4095
150881,0.82,1.39,-9.72,0.02,0,0.01,4095
150886,0.89,1.36,-9.82,0.02,0,0.01,4095
150892,0.88,1.3,-9.74,0.02,0,0.01,4095
150896,0.8,1.37,-9.72,0.02,0,0,4095
150902,0.81,1.43,-9.73,0.02,0,0.01,4095
150906,0.91,1.34,-9.79,0.02,0,0.01,4095
150911,0.92,1.39,-9.72,0.02,0,0.01,4095
150916,0.87,1.38,-9.77,0.02,0,0,4095
150921,0.86,1.31,-9.78,0.02,0,0.01,4095
150925,0.84,1.36,-9.73,0.02,0,0.01,4095
150930,0.92,1.34,-9.77,0.02,0,0.01,4093
150935,0.89,1.4,-9.76,0.02,0,0.01,3959
150940,0.95,1.34,-9.77,0.02,0,0.01,3913
150945,0.86,1.46,-9.71,0.02,0,0.01,3762
150950,0.8,1.38,-9.83,0.02,0,0.01,3643
150955,0.86,1.39,-9.73,0.02,0,0.01,3494
150959,0.87,1.43,-9.78,0.02,0,0.01,3312
150964,0.9,1.33,-9.74,0.02,0,0.01,3104
150968,0.89,1.4,-9.77,0.02,0,0.01,2608
150973,0.84,1.38,-9.71,0.02,0,0.01,1783
150978,0.85,1.29,-9.77,0.02,0,0.01,1211
150982,0.92,1.35,-9.74,0.02,0,0.01,987
150987,0.81,1.33,-9.75,0.02,0,0.01,695
150991,0.79,1.39,-9.75,0.02,0,0.01,485
150996,0.84,1.35,-9.77,0.02,0,0.01,679
151000,0.91,1.37,-9.78,0.02,0,0.01,781
151004,0.91,1.41,-9.67,0.02,0,0.01,941
151048,0.83,1.38,-9.75,0.02,0,0.01,815
151053,0.92,1.31,-9.72,0.02,0,0.01,560
151058,0.89,1.37,-9.85,0.02,0,0.01,624
151062,0.87,1.39,-9.73,0.02,0,0.01,221
151068,0.87,1.45,-9.8,0.02,0,0.01,167
151072,0.9,1.43,-9.77,0.02,0,0.01,190
151078,0.82,1.44,-9.8,0.02,0,0.01,114
151082,0.85,1.36,-9.82,0.02,0,0.01,0
151090,0.88,1.35,-9.75,0.02,0,0.01,0
151094,0.78,1.34,-9.73,0.02,0,0.01,0
151099,0.84,1.32,-9.75,0.02,0,0.01,0
151103,0.87,1.43,-9.73,0.02,0,0.01,0
151108,0.88,1.37,-9.79,0.02,0,0.01,0
151113,0.9,1.42,-9.79,0.02,0,0.01,0
151118,0.92,1.4,-9.79,0.02,0,0.01,0
151123,0.88,1.41,-9.82,0.02,0,0.01,0
151127,0.94,1.45,-9.7,0.02,0,0.01,0
151133,0.91,1.3,-9.8,0.02,0,0.01,0
151138,0.93,1.38,-9.81,0.02,0,0.01,0
151143,0.86,1.38,-9.8,0.02,0,0.01,0
151147,0.86,1.39,-9.74,0.02,0,0.01,0
151153,0.92,1.36,-9.77,0.02,0,0.01,0
151158,0.84,1.43,-9.78,0.02,0,0.01,0
151163,0.84,1.43,-9.79,0.02,0,0.01,0
151169,0.78,1.42,-9.71,0.02,0,0.01,0
151174,0.78,1.46,-9.8,0.02,0,0.01,0
151178,0.85,1.42,-9.8,0.02,0,0.01,0
151183,0.87,1.43,-9.72,0.02,0,0.01,0
151187,0.87,1.34,-9.79,0.02,0,0.01,0
151192,0.86,1.3,-9.76,0.02,0,0.01,0
151196,0.85,1.37,-9.77,0.02,0,0.01,0
151201,0.87,1.44,-9.71,0.02,0,0.01,0
151206,0.87,1.44,-9.75,0.02,0,0.01,0
151211,0.89,1.37,-9.8,0.02,0,0.01,0
151215,0.89,1.39,-9.76,0.02,0,0.01,0
151220,0.96,1.39,-9.8,0.02,0,0.01,0
151225,0.89,1.35,-9.76,0.02,0,0.01,0
151229,0.85,1.37,-9.69,0.02,0,0.01,0
151234,0.87,1.39,-9.76,0.02,0,0.01,0
151238,0.83,1.45,-9.74,0.02,0,0.01,0
151243,0.85,1.41,-9.74,0.02,0,0.01,0
151247,0.95,1.31,-9.77,0.02,0,0.01,0
151252,0.83,1.43,-9.75,0.02,0,0.01,0
151256,0.93,1.37,-9.77,0.02,0,0.01,0
151261,0.84,1.46,-9.75,0.02,0,0.01,0
151266,0.87,1.45,-9.81,0.02,0,0.01,0
151271,0.8,1.45,-9.83,0.02,0,0.01,0
151275,0.9,1.39,-9.74,0.01,0,0.01,0
151281,0.91,1.45,-9.77,0.02,0,0.01,0
151285,0.93,1.35,-9.8,0.02,0,0.01,0
151290,0.83,1.39,-9.71,0.01,0,0.01,0
151295,0.82,1.35,-9.81,0.02,0,0.01,0
151300,0.93,1.45,-9.71,0.01,0,0.01,0
151305,0.83,1.29,-9.81,0.01,0,0.01,0
151310,0.86,1.35,-9.75,0.01,0,0.01,0
151315,0.84,1.42,-9.79,0.02,0,0.01,0
151319,0.78,1.38,-9.76,0.02,0,0.01,0
151324,0.86,1.39,-9.76,0.01,0,0.01,0
151328,0.91,1.43,-9.75,0.02,0,0.01,0
151333,0.86,1.35,-9.8,0.02,0,0.01,0
151339,0.94,1.42,-9.74,0.01,0,0.01,0
151344,0.87,1.43,-9.78,0.01,0,0.01,0
151350,0.92,1.4,-9.74,0.01,0,0.01,0
151355,0.84,1.38,-9.83,0.01,0,0.01,0
151359,0.9,1.42,-9.77,0.01,0,0.01,0
151364,0.85,1.41,-9.74,0.01,0,0.01,0
151369,0.87,1.51,-9.78,0.02,0,0.01,0
151374,0.87,1.39,-9.79,0.01,0,0.01,0
151379,0.86,1.35,-9.8,0.01,0,0.01,0
151383,0.82,1.42,-9.8,0.01,0,0.01,0
151388,0.89,1.39,-9.81,0.01,0,0.01,0
151392,0.83,1.35,-9.76,0.01,0,0.01,0
151397,0.93,1.38,-9.72,0.01,0,0.01,0
151401,0.83,1.37,-9.77,0.01,0,0.01,0
151415,0.91,1.43,-9.73,0.01,0,0.01,0
151464,0.84,1.38,-9.79,0.01,-0.01,0.01,0
151469,0.9,1.45,-9.75,0.01,0,0.01,0
151474,0.93,1.38,-9.82,0.01,0,0.01,0
151479,0.93,1.39,-9.72,0.01,0,0.01,0
151484,0.87,1.42,-9.74,0.01,-0.01,0.01,0
151489,0.92,1.44,-9.82,0.01,-0.01,0.01,0
151494,0.9,1.42,-9.77,0.01,0,0.01,0
151499,0.88,1.38,-9.78,0.01,0,0.01,0
151504,0.79,1.4,-9.76,0.01,-0.01,0.01,0
151508,0.86,1.43,-9.79,0.01,0,0.01,0
151513,0.88,1.41,-9.7,0.01,-0.01,0.01,0
151518,0.9,1.48,-9.75,0.01,0,0.01,0
151523,0.87,1.45,-9.73,0.01,0,0.01,0
151527,0.88,1.45,-9.73,0.01,0,0.01,0
151532,0.91,1.39,-9.77,0.01,0,0.01,0
151537,2.03,2.39,-9.81,0.01,0,0.01,0
151542,14.06,13.95,-13.74,-0.27,0.16,-0.26,0
151549,15.79,39.78,-17.54,-2.31,2.72,-0.43,0
151554,13.11,31.44,4.6,-1.92,3.6,-0.6,0
151559,-14.39,14.71,20.9,0.19,2.62,-0.8,0
